Batch ID,Test Date,Material ,Supplier,Heat Treatment,Sample Thickness (mm),Hardness (HRC),Tensile Strength (MPa),Yield Strength (MPa),Elongation (%),Carbon Equiv (%),Test Temp (C),Cycles to Failure,Defect Count,Operator,Test Machine,Pass/Fail,Notes
B2022-00757,03/07/2022, CopperC110,Supplier D,Annealed,5.8,10.2,210.6,165.6,33.1,0.351,17.4,63070.0,0.0,T. Nguyen,HT-4,Pass,
B2023-00334,17-Dec-2023,Aluminum 6061,Supplier C,Quenched & Tempered,13.61,13.9,325.8,271.0,18.9,0.138,,33061.0,0.0,T. Nguyen,UTM-2,Pass,
B2024-01081,04/13/2024,titanium ti-6al-4v,Supplier A,As-Received,10.75,34.0,954.3,823.7,11.4,0.473,23.2,,0.0,,HT-4,Pass,
B2022-00865,11/22/2022,Steel 4140,Supplier C,Quenched & Tempered,24.46,29.0,1016.3,824.2,17.6,0.291,17.4,4540.0,5.0,M. Chen,UTM-2,Fail,
B2022-00516,17-May-2022,Steel 4140,Supplier C,As-Received,23.55,34.1,943.1,765.9,18.4,0.097,17.6,,0.0,A. Silva,HT-4,Pass,
B2023-01280,28-Dec-2023,Steel 4140,Supplier C,Quenched & Tempered,24.67,30.8 HRC,1021.6,817.5,17.4,0.396,23.7,,0.0,J. Kim,HT-4,Pass,
B2023-00319,06/10/2023,Stainless 304,Supplier A,Quenched & Tempered,4.38,23.8 HRC,737.2,602.8,44.1,0.568,25.4,67512.0,1.0,T. Nguyen,UTM-1,Pass,
B2024-00433,26-Jun-2024,Titanium Ti-6Al-4V,Supplier A,Quenched & Tempered,4.55,36.2HRC,1110.3,888.2,11.6,0.265,16.0,,2.0,M. Chen,UTM-3,Pass,
B2024-00124,05/08/2024,Stainless 304,Supplier A,As-Received,3.28,16.9,560.2,488.2,47.0,0.496,20.0,,2.0,T. Nguyen,UTM-3,Pass,
B2023-00943,03/23/2023,Titanium Ti-6Al-4V,Supplier D,Annealed,19.04,33.2 hrc,795.3,628.4,13.3,0.402,22.6,,0.0,T. Nguyen,UTM-1,Fail,
B2022-00083,02/04/2022,Aluminum 6061,Supplier_D,As-Received,13.85,16.1,352.6,281.6,16.6,0.452,18.2,18781.0,1.0,R. Patel,HT-4,Pass,
B2022-00911,07/31/2022,Stainless 304,Supplier D,As-Received,15.58,18.5,540.0,431.3,,0.262,25.9,49981.0,0.0,A. Silva,UTM-1,Fail,
B2022-00179,11-May-2022,Aluminum 6061,supplier a,Annealed,12.26,15.5,330.5,260.4,16.3,0.397,24.4,23814.0,1.0,T. Nguyen,HT-4,Pass,Surface porosity observed
B2023-00634,08/08/2023,aluminum 6061,Supplier B,Annealed,13.23,14.4,264.8,,14.3,0.342,25.4,3403.0,2.0,A. Silva,HT-4,Pass,
B2024-00914,2024-03-04,Titanium-Ti-6Al-4V,Supplier A,Quenched & Tempered,13.96,36.9,1024.0,816.5,11.5,0.358,17.4,70454.0,0.0,T. Nguyen,HT-4,Pass,
B2024-01076,2024-02-09,Aluminum 6061,supplier a,Quenched & Tempered,7.76,10.0,333.4,251.1,17.8,0.255,25.3,,0.0,A. Silva,UTM-3,Pass,
B2022-00062,30-Jul-2022,Titanium Ti-6Al-4V,Supplier B,As-Received,3.26,33.7,731.3,585.4,19.3,0.307,18.6,14881.0,0.0,J. Kim,HT-4,Fail,
B2023-00567,28-Mar-2023,Aluminum 6061,Supplier D,Quenched & Tempered,13.6,13.2,324.5,,16.7,0.374,23.1,,2.0,A. Silva,UTM-3,Pass,
B2022-00249,08/05/2022,Stainless 304,Supplier C,Normalized,2.96,16.9,577.7,509.4,44.6,0.35,13.0,,1.0,A. Silva,UTM-2,Fail,
B2023-00634,2023-08-07, Aluminum6061,Supplier B,Annealed,4.15,12.6,228.4,196.6,16.5,0.274,25.7,7764.0,1.0,J. Kim,UTM-1,Fail,
B2024-01353,03/10/2024,Aluminum 6061,Supplier B,Annealed,4.75,13.1,237.8,192.0,13.0,0.357,22.2,14350.0,1.0,R. Patel,UTM-2,Fail,
B2022-00986,09/12/2022,Titanium Ti-6Al-4V,Supplier D,Quenched & Tempered,5.55,36.9,1051.2,873.2,7.4,0.388,26.5,82212.0,2.0,A. Silva,HT-4,Pass,
B2024-01143,2024-06-12,Aluminum 6061,Supplier A,As-Received,11.36,14.2,356.2,302.0,13.7,0.41,18.1,,1.0,R. Patel,UTM-1,Pass,
B2022-00089,07/12/2022,COPPER C110 ,Supplier A,Quenched & Tempered,2.09,7.0,246.3,212.1,36.0,0.344,30.7,19113.0,1.0,R. Patel,UTM-1,Pass,
B2023-01175,01/27/2023,Titanium Ti-6Al-4V,Supplier D,Quenched & Tempered,16.29,37.4,1083.4,889.5,6.7,0.316,15.9,,2.0,T. Nguyen,UTM-2,Pass,
B2022-01309,22-Sep-2022,STEEL 4140 ,Supplier A,As-Received,8.07,30.5,964.5,738.3,17.3,0.338,24.2,22534.0,1.0,T. Nguyen,HT-4,Pass,
B2024-00043,2024-03-12,Copper C110,SUPPLIER A ,Annealed,5.62,8.4,235.9,211.1,33.6,0.521,22.7,20683.0,1.0,M. Chen,UTM-1,Pass,
B2024-00843,07-Jan-2024,Copper C110,Supplier C,Normalized,7.84,8.3,209.9,174.0,30.3,0.328,21.8,39586.0,0.0,T. Nguyen,UTM-2,Pass,
B2023-00722,2023-05-31,Titanium Ti-6Al-4V,Supplier C,Normalized,14.74,37.7,1017.5,843.8,10.9,0.376,26.4,37344.0,0.0,J. Kim,UTM-2,Fail,
B2022-00955,08/12/2022,Steel 4140,Supplier D,Normalized,16.5,29.6,981.8,831.6,18.6,0.372,21.0,40274.0,0.0,J. Kim,HT-4,Pass,
B2022-00250,22-Jul-2022,Stainless 304,Supplier D,Annealed,9.87,24.2,590.4,533.7,43.3,0.294,18.3,,1.0,A. Silva,UTM-2,Pass,
B2023-01283,09/12/2023,Stainless 304,Supplier C,Normalized,11.64,20.6,561.0,460.0,48.8,0.339,22.1,,2.0,A. Silva,UTM-3,Pass,
B2022-01084,21-Jan-2022,Steel 4140,Supplier A,Quenched & Tempered,13.68,30.6,1023.0,803.1,16.8,0.285,,,1.0,M. Chen,UTM-2,Pass,"Cold room, verify temp log"
B2024-01099,04/13/2024,Stainless 304,Supplier B,Quenched & Tempered,15.49,22.2,516.2,404.4,45.9,0.33,25.1,,2.0,A. Silva,UTM-3,Fail,
B2022-00315,2022-10-29,Copper C110,Supplier C,Normalized,9.55,9.7 hrc,241.0,194.7,34.9,0.378,22.9,,0.0,J. Kim,HT-4,Pass,
B2023-00573,11/28/2023,Steel 4140,Supplier B,Annealed,12.36,31.9HRC,721.4,594.9,22.2,0.36,24.3,,2.0,A. Silva,UTM-2,Fail,
B2023-01365,13-Nov-2023,Steel 4140,Supplier A,As-Received,7.56,31.1 HRC,946.6,742.9,17.4,0.331,17.5,6583.0,1.0,R. Patel,UTM-1,Pass,
B2022-00608,11/01/2022,Aluminum 6061,Supplier B,Normalized,11.23,15.4,266.8,205.8,13.9,0.411,23.8,,0.0,J. Kim,UTM-1,Fail,
B2023-00912,2023-09-27,Stainless 304,supplier a,Normalized,3.06,22.3,618.4,477.8,46.5,0.339,23.2,,0.0,J. Kim,UTM-3,Pass,
B2022-01103,2022-08-26,Titanium Ti-6Al-4V,Supplier C,Normalized,3.98,37.6,1009.6,819.6,6.4,0.302,24.6,,1.0,A. Silva,UTM-2,Pass,
B2024-00719,2024-02-12,Stainless 304,Supplier D,As-Received,14.54,21.5,627.7,505.2,46.4,0.315,15.4,,0.0,M. Chen,UTM-2,Pass,
B2024-00809,07/28/2024,Steel 4140,Supplier C,As-Received,7.23,35.5,1009.7,779.7,15.1,0.271,24.7,,1.0,R. Patel,UTM-3,Pass,
B2023-00227,2023-08-01,Titanium Ti-6Al-4V, Supplier B,Normalized,14.77,37.2 HRC,765.4,655.1,14.9,0.26,18.3,,2.0,R. Patel,UTM-2,Fail,Grain flow irregular near edge
B2023-01156,19-Jun-2023,Stainless 304,Supplier D,Quenched & Tempered,16.69,18.4,626.9,481.6,44.5,0.424,18.0,,1.0,R. Patel,UTM-3,Pass,Retest requested
B2023-00079,03/30/2023, CopperC110,Supplier_C,Normalized,7.24,8.7,213.7,168.0,34.2,0.347,24.6,24740.0,1.0,R. Patel,UTM-2,Pass,
B2023-00409,08-Feb-2023,steel 4140,Supplier A,Quenched & Tempered,8.38,32.0,1017.5,815.2,15.6,0.299,25.1,,2.0,M. Chen,UTM-1,Pass,
B2024-00064,2024-01-28,Steel 4140,Supplier C,As-Received,19.52,32.2,934.5,731.2,,0.162,19.9,,4.0,A. Silva,UTM-3,Fail,
B2022-01114,12/23/2022,Stainless-304 ,Supplier D,Normalized,14.55,23.5,643.2,505.7,42.0,0.366,32.4,13048.0,2.0,M. Chen,UTM-3,Pass,Grain flow irregular near edge
B2024-01361,2024-03-12,Copper C110,Supplier C,Quenched & Tempered,2.34,9.1,220.7,172.1,36.9,0.224,21.0,,5.0,R. Patel,UTM-3,Fail,
B2022-00193,28-Jan-2022,Aluminum 6061,Supplier D,As-Received,14.32,11.8,306.8,264.3,,0.368,24.4,,0.0,M. Chen,UTM-2,Fail,
B2023-01349,12/08/2023,Steel 4140,Supplier B,As-Received,11.52,33.5,765.5,641.4,21.7,0.129,26.3,,2.0,T. Nguyen,UTM-1,Fail,
B2023-00642,20-May-2023,Steel 4140,Supplier D,Normalized,24.65,32.0,1009.1,822.0,18.2,0.335,20.0,24762.0,2.0,J. Kim,UTM-2,Pass,
B2022-01369,28-Oct-2022,Stainless 304,Supplier_C,Normalized,16.02,23.8,668.6,542.4,43.1,0.477,19.5,,0.0,R. Patel,UTM-2,Pass,
B2022-01100,03/07/2022,copper c110,Supplier C,Normalized,9.31,11.4,248.0,199.6,35.3,0.459,20.3,,2.0,J. Kim,UTM-2,Pass,Grain flow irregular near edge
B2024-00652,28-Apr-2024,Aluminum 6061,Supplier C,As-Received,13.23,13.2,268.4,255.8,,0.263,,,0.0,J. Kim,UTM-1,Pass,"Cold room, verify temp log"
B2022-00245,12/16/2022,Stainless 304,Supplier C,Annealed,17.97,22.0,604.5,461.7,46.9,0.225,15.6,9851.0,3.0,R. Patel,HT-4,Pass,
B2024-01389,2024-03-18,Copper C110,Supplier D,As-Received,1.16,11.2 HRC,237.2,202.3,,0.348,25.3,57847.0,0.0,M. Chen,UTM-3,Pass,
B2022-01272,01/16/2022,Stainless 304,Supplier A,Annealed,10.7,22.9,649.0,517.1,42.6,0.333,24.9,,2.0,T. Nguyen,UTM-2,Pass,
B2024-00107,10-Jun-2024,Copper C110,Supplier A,Quenched & Tempered,8.5,8.7,246.7,208.7,35.2,0.444,17.2,16618.0,1.0,M. Chen,UTM-1,Pass,
B2023-00434,06-Aug-2023,Stainless 304,Supplier D,Normalized,6.95,22.9,614.0,492.2,46.7,0.261,24.2,,2.0,J. Kim,UTM-2,Pass,
B2024-00015,2024-06-18,Aluminum 6061,Supplier B,Normalized,8.9,12.4,274.6,244.2,12.7,0.51,21.7,,1.0,M. Chen,HT-4,Pass,
B2023-01325,2023-05-29,Copper C110,Supplier C,Quenched & Tempered,4.16,8.7,250.9,225.2,37.2,0.418,22.6,,2.0,J. Kim,HT-4,Pass,
B2022-00259,11/28/2022,Steel 4140,Supplier A,As-Received,15.67,32.2,1007.7,891.1,14.4,0.401,25.6,,0.0,A. Silva,UTM-2,Pass,
B2022-00193,2022-01-30,Aluminum 6061,Supplier D,As-Received,11.49,14.7,314.0,253.4,13.1,0.486,21.0,,0.0,A. Silva,UTM-2,Pass,
B2022-01059,07/28/2022,Copper C110,Supplier A,Normalized,2.47,8.2 hrc,198.0,155.3,35.8,0.396,146.2,16734.0,0.0,R. Patel,UTM-3,Pass,Grain flow irregular near edge
B2022-01123,2022-03-30,steel 4140,Supplier B,Quenched & Tempered,18.89,31.8,830.3,682.8,23.3,0.325,18.7,,2.0,M. Chen,UTM-3,Pass,
B2023-00828,2023-08-23,Aluminum-6061,Supplier_A,As-Received,14.96,14.6,320.7,246.2,14.3,0.415,25.5,,1.0,J. Kim,UTM-3,Pass,
B2022-01281,06/01/2022,Copper-C110,Supplier_D,Annealed,8.39,3.9,195.1,158.6,37.5,0.389,23.0,,1.0,J. Kim,UTM-3,Pass,
B2023-00946,2023-01-30,Steel 4140,Supplier B,As-Received,14.1,33.7 hrc,748.5,603.4,21.6,0.307,18.6,4959.0,,T. Nguyen,UTM-1,Fail,
B2023-00212,26-May-2023,Aluminum 6061,Supplier D,As-Received,7.58,17.8,365.4,286.6,,0.335,19.5,197479.0,0.0,A. Silva,UTM-3,Pass,
B2023-01089,2023-04-27,Stainless 304, Supplier A,Annealed,2.36,17.4 HRC,558.3,467.7,44.0,0.541,18.8,,0.0,M. Chen,UTM-1,Pass,Grain flow irregular near edge
B2022-01230,2022-10-27, Stainless304,Supplier A,Normalized,3.19,23.4,668.6,603.4,43.1,0.324,22.9,,3.0,R. Patel,UTM-3,Pass,
B2023-01280,2023-12-28,Steel 4140,Supplier C,Quenched & Tempered,6.42,28.5,969.7,817.1,13.6,0.411,20.1,,2.0,A. Silva,HT-4,Pass,
B2023-01317,08/06/2023,Titanium Ti-6Al-4V,Supplier A,Quenched & Tempered,11.21,42.6,1160.6,898.2,1.8,0.395,25.7,,0.0,,UTM-2,Pass,
B2024-01116,07/04/2024,Copper C110,Supplier A,As-Received,4.14,8.2,219.9,167.9,34.3,0.286,21.3,,1.0,T. Nguyen,UTM-3,Fail,
B2023-01287,12/27/2023,Titanium Ti-6Al-4V,Supplier A,Quenched & Tempered,11.87,36.4,1080.2,894.2,10.8,0.175,25.2,,0.0,T. Nguyen,UTM-3,Pass,
B2023-00764,04/29/2023,steel 4140,Supplier C,Annealed,14.03,34.2,784.1,669.8,20.4,0.219,133.1,,0.0,M. Chen,HT-4,Fail,
B2023-01338,02-Aug-2023,Copper C110,Supplier B,Annealed,2.07,9.3,159.3,129.9,34.1,0.316,14.3,6251.0,3.0,A. Silva,UTM-3,Fail,
B2022-00437,12/09/2022,Copper C110,Supplier A,Normalized,4.33,10.1,228.7,173.5,,0.265,25.1,31217.0,1.0,T. Nguyen,UTM-1,Pass,
B2022-00112,10/17/2022,Titanium Ti-6Al-4V,Supplier C,Annealed,11.33,36.5 HRC,941.2,813.6,12.4,0.368,24.6,,2.0,T. Nguyen,HT-4,Pass,
B2022-00208,20-Nov-2022,Copper C110,Supplier D,Normalized,6.5,9.0,242.4,198.7,33.7,0.404,22.3,,1.0,M. Chen,UTM-2,Pass,
B2023-00929,2023-11-02,Steel 4140,Supplier B,Quenched & Tempered,17.29,33.8,865.8,736.8,20.4,0.25,19.9,,3.0,J. Kim,UTM-2,Fail,
B2022-00980,2022-06-30,Aluminum 6061,Supplier B,As-Received,10.24,11.4,221.9,193.1,11.6,0.385,17.7,,1.0,M. Chen,UTM-3,Fail,
B2024-00799,03/29/2024, Aluminum6061,Supplier A,Annealed,6.29,13.9HRC,308.7,256.1,11.4,0.352,20.4,,0.0,R. Patel,HT-4,Pass,
B2024-00526,01/17/2024,Aluminum 6061,Supplier A,Annealed,2.8,11.4,295.7,,11.7,0.314,22.9,,,J. Kim,UTM-3,Pass,
B2022-00742,05/30/2022,Titanium Ti-6Al-4V, Supplier A,Quenched & Tempered,15.51,34.6,1089.0,943.8,6.8,0.334,26.0,,2.0,T. Nguyen,UTM-3,Fail,
B2022-01120,2022-09-24,steel 4140,Supplier A,Annealed,6.74,33.0,955.5,839.3,13.8,0.243,22.1,52482.0,0.0,A. Silva,UTM-2,Pass,
B2023-00796,11/11/2023,Copper C110,Supplier A,Normalized,5.08,8.3,234.5,160.0,38.0,0.348,26.4,16490.0,0.0,M. Chen,UTM-1,Pass,
B2022-00911,01-Aug-2022,Stainless 304,Supplier D,As-Received,8.66,20.1 hrc,601.8,479.2,46.6,0.358,28.6,18228.0,2.0,M. Chen,UTM-1,Pass,
B2024-00170,2024-08-01,Aluminum 6061,Supplier B,Annealed,12.29,17.0,253.4,203.8,16.9,0.365,24.3,20434.0,1.0,R. Patel,UTM-3,Fail,
B2022-01398,2022-10-04,Aluminum 6061,Supplier A,Normalized,12.18,15.6,335.5,269.8,14.2,0.274,18.6,,1.0,J. Kim,UTM-3,Pass,
B2022-00481,05/19/2022,Aluminum 6061,Supplier B,Quenched & Tempered,13.2,13.6HRC,253.9,230.7,,0.275,24.2,2216.0,5.0,A. Silva,UTM-2,Fail,
B2023-01156,21-Jun-2023,Stainless 304,Supplier D,Quenched & Tempered,14.64,28.6HRC,745.2,586.4,42.9,0.297,17.5,,1.0,T. Nguyen,UTM-2,Pass,
B2022-00675,2022-11-14,Titanium Ti-6Al-4V,Supplier D,Normalized,16.04,33.0,907.6,722.8,7.5,0.346,23.9,,3.0,A. Silva,UTM-3,Pass,
B2023-00983,07-Sep-2023,Aluminum 6061,Supplier C,Quenched & Tempered,8.2,15.5,346.1,269.2,13.4,0.41,23.1,,1.0,M. Chen,UTM-2,Pass,
B2022-00864,16-Jun-2022,Titanium Ti-6Al-4V,Supplier C,Annealed,7.0,36.0,918.2,775.9,13.6,0.359,20.0,,2.0,M. Chen,UTM-2,Pass,
B2023-01396,15-Aug-2023,Copper C110,Supplier C,Annealed,9.23,10.1,189.6,147.7,35.2,0.314,21.9,,2.0,A. Silva,UTM-3,Fail,
B2023-01247,06/29/2023,Stainless 304,SUPPLIER B ,Quenched & Tempered,9.56,19.7,502.0,454.8,52.8,0.372,18.4,,3.0,T. Nguyen,UTM-1,Pass,
B2023-00338,2023-09-04,Stainless 304, Supplier A,As-Received,11.04,21.8,645.8,535.9,46.3,0.323,24.7,57725.0,1.0,R. Patel,UTM-3,Pass,
B2024-00549,08/01/2024,Aluminum 6061,Supplier B,As-Received,10.84,11.9,228.9,176.0,,0.334,24.3,,6.0,,UTM-2,Fail,
B2024-00654,02/20/2024,Copper C110,Supplier D,Annealed,1.44,9.2,212.2,161.9,33.0,0.304,24.9,,2.0,R. Patel,UTM-3,Pass,
B2024-00549,2024-08-03,Aluminum 6061,Supplier B,As-Received,4.06,15.2,274.8,225.3,13.1,0.481,23.8,,4.0,T. Nguyen,HT-4,Fail,
B2022-01307,2022-03-04,Stainless 304,Supplier A,Quenched & Tempered,11.11,18.9,647.6,550.2,44.6,0.293,26.1,,2.0,A. Silva,UTM-1,Pass,
B2022-00468,21-Jun-2022,Copper C110,Supplier B,As-Received,5.98,9.1,146.0,119.5,37.2,0.175,21.3,,3.0,M. Chen,HT-4,Fail,
B2022-00944,2022-10-19,Titanium Ti-6Al-4V,Supplier C,Annealed,5.01,36.6,947.6,797.5,8.9,0.402,22.7,,2.0,R. Patel,UTM-2,Pass,
B2023-01317,2023-08-08,Titanium Ti-6Al-4V,Supplier_A,Quenched & Tempered,18.01,39.3,1080.4,915.0,,0.23,25.5,,1.0,M. Chen,UTM-1,Pass,
B2024-00495,26-Apr-2024,Stainless 304,Supplier B,Normalized,8.34,19.6,473.0,386.9,46.5,0.367,22.9,7799.0,3.0,A. Silva,UTM-3,Fail,
B2022-00151,24-Jun-2022,Steel 4140,Supplier B,Quenched & Tempered,15.44,31.6,826.8,668.5,23.6,0.318,19.5,5715.0,4.0,J. Kim,UTM-2,Fail,
B2024-00378,2024-03-04,Steel 4140,Supplier D,Quenched & Tempered,19.68,31.5 HRC,1090.1,888.8,17.5,0.496,17.8,,2.0,A. Silva,UTM-3,Pass,
B2022-00303,2022-08-09,Steel 4140,Supplier A,Quenched & Tempered,6.33,34.2 hrc,1140.7,906.7,18.0,0.475,15.8,94251.0,1.0,J. Kim,UTM-3,Pass,
B2022-00580,2022-04-24,Titanium Ti-6Al-4V,Supplier D,As-Received,8.41,33.3,954.4,837.1,12.3,0.421,26.7,22891.0,1.0,T. Nguyen,HT-4,Pass,
B2022-00848,11/01/2022,Copper-C110,Supplier A,As-Received,1.02,7.7,168.1,140.4,33.9,0.402,154.4,,0.0,R. Patel,HT-4,Fail,
B2024-00517,13-Feb-2024,Stainless 304,Supplier A,Quenched & Tempered,11.62,18.7,589.6,462.6,47.0,0.466,150.0,,0.0,J. Kim,HT-4,Pass,Slight misalignment during test
B2023-00653,12/08/2023,Aluminum 6061,Supplier C,Quenched & Tempered,8.9,15.4,359.2,286.6,17.9,0.358,25.8,62995.0,2.0,J. Kim,HT-4,Pass,
B2022-01371,06-Nov-2022,Titanium Ti-6Al-4V,Supplier B,Annealed,13.37,34.3,714.9,,9.3,0.434,21.3,,3.0,J. Kim,UTM-1,Fail,
B2022-00374,2022-09-29,Steel 4140,Supplier B,Quenched & Tempered,16.03,33.1,675.9,545.0,24.5,0.266,151.7,,8.0,J. Kim,HT-4,Fail,
